Testbild Nr. 1: JA, Label = 7, Vorhersage: 7, Fehler: 5.15431e-36
Testbild Nr. 2: JA, Label = 2, Vorhersage: 2, Fehler: 0.279902
Testbild Nr. 3: JA, Label = 1, Vorhersage: 1, Fehler: 2.16854e-37
Testbild Nr. 4: JA, Label = 0, Vorhersage: 0, Fehler: 8.23833e-25
Testbild Nr. 5: JA, Label = 4, Vorhersage: 4, Fehler: 7.3499e-25
Testbild Nr. 6: JA, Label = 1, Vorhersage: 1, Fehler: 6.11261e-32
Testbild Nr. 7: JA, Label = 4, Vorhersage: 4, Fehler: 0.49898
Testbild Nr. 8: JA, Label = 9, Vorhersage: 9, Fehler: 0.5
Testbild Nr. 9: NEIN, Label = 5, Vorhersage: 2, Fehler: 0.500017
Testbild Nr. 10: NEIN, Label = 9, Vorhersage: 7, Fehler: 0.5
Testbild Nr. 11: NEIN, Label = 0, Vorhersage: 5, Fehler: 0.903235
Testbild Nr. 12: JA, Label = 6, Vorhersage: 6, Fehler: 0.408643
Testbild Nr. 13: NEIN, Label = 9, Vorhersage: 7, Fehler: 1.49719
Testbild Nr. 14: JA, Label = 0, Vorhersage: 0, Fehler: 0.487513
Testbild Nr. 15: JA, Label = 1, Vorhersage: 1, Fehler: 3.96159e-18
Testbild Nr. 16: JA, Label = 5, Vorhersage: 5, Fehler: 3.37536e-30
Testbild Nr. 17: NEIN, Label = 9, Vorhersage: 4, Fehler: 0.995183
Testbild Nr. 18: JA, Label = 7, Vorhersage: 7, Fehler: 2.33422e-51
Testbild Nr. 19: NEIN, Label = 3, Vorhersage: 5, Fehler: 0.5
Testbild Nr. 20: JA, Label = 4, Vorhersage: 4, Fehler: 6.05718e-29
Testbild Nr. 21: NEIN, Label = 9, Vorhersage: 7, Fehler: 0.5
Testbild Nr. 22: NEIN, Label = 6, Vorhersage: 5, Fehler: 0.5
Testbild Nr. 23: JA, Label = 6, Vorhersage: 6, Fehler: 2.43455e-06
Testbild Nr. 24: JA, Label = 5, Vorhersage: 5, Fehler: 2.13243e-14
Testbild Nr. 25: JA, Label = 4, Vorhersage: 4, Fehler: 7.52096e-08
Testbild Nr. 26: JA, Label = 0, Vorhersage: 0, Fehler: 0.5
Testbild Nr. 27: JA, Label = 7, Vorhersage: 7, Fehler: 1.9628e-13
Testbild Nr. 28: JA, Label = 4, Vorhersage: 4, Fehler: 3.68782e-33
Testbild Nr. 29: JA, Label = 0, Vorhersage: 0, Fehler: 2.12192e-12
Testbild Nr. 30: JA, Label = 1, Vorhersage: 1, Fehler: 5.29609e-34
Testbild Nr. 31: JA, Label = 3, Vorhersage: 3, Fehler: 2.16658e-19
Testbild Nr. 32: JA, Label = 1, Vorhersage: 1, Fehler: 9.11123e-20
Testbild Nr. 33: JA, Label = 3, Vorhersage: 3, Fehler: 8.38088e-18
Testbild Nr. 34: NEIN, Label = 4, Vorhersage: 5, Fehler: 1.5
Testbild Nr. 35: JA, Label = 7, Vorhersage: 7, Fehler: 1.97533e-08
Testbild Nr. 36: JA, Label = 2, Vorhersage: 2, Fehler: 0.499994
Testbild Nr. 37: JA, Label = 7, Vorhersage: 7, Fehler: 3.22466e-45
Testbild Nr. 38: JA, Label = 1, Vorhersage: 1, Fehler: 7.30046e-34
Testbild Nr. 39: JA, Label = 2, Vorhersage: 2, Fehler: 0.5
Testbild Nr. 40: JA, Label = 1, Vorhersage: 1, Fehler: 1.41436e-23
Testbild Nr. 41: JA, Label = 1, Vorhersage: 1, Fehler: 3.95148e-11
Testbild Nr. 42: JA, Label = 7, Vorhersage: 7, Fehler: 5.9703e-17
Testbild Nr. 43: JA, Label = 4, Vorhersage: 4, Fehler: 5.38419e-16
Testbild Nr. 44: JA, Label = 2, Vorhersage: 2, Fehler: 0.5
Testbild Nr. 45: JA, Label = 3, Vorhersage: 3, Fehler: 1.50961e-17
Testbild Nr. 46: JA, Label = 5, Vorhersage: 5, Fehler: 3.20969e-32
Testbild Nr. 47: JA, Label = 1, Vorhersage: 1, Fehler: 0.5
Testbild Nr. 48: JA, Label = 2, Vorhersage: 2, Fehler: 2.94397e-16
Testbild Nr. 49: JA, Label = 4, Vorhersage: 4, Fehler: 4.38639e-19
Testbild Nr. 50: JA, Label = 4, Vorhersage: 4, Fehler: 0.499698
Testbild Nr. 51: JA, Label = 6, Vorhersage: 6, Fehler: 5.96097e-33
Testbild Nr. 52: NEIN, Label = 3, Vorhersage: 5, Fehler: 0.732724
Testbild Nr. 53: JA, Label = 5, Vorhersage: 5, Fehler: 5.49459e-23
Testbild Nr. 54: JA, Label = 5, Vorhersage: 5, Fehler: 2.89247e-21
Testbild Nr. 55: NEIN, Label = 6, Vorhersage: 2, Fehler: 0.497686
Testbild Nr. 56: JA, Label = 0, Vorhersage: 0, Fehler: 0.496787
Testbild Nr. 57: JA, Label = 4, Vorhersage: 4, Fehler: 8.36744e-33
Testbild Nr. 58: JA, Label = 1, Vorhersage: 1, Fehler: 3.60628e-32
Testbild Nr. 59: NEIN, Label = 9, Vorhersage: 4, Fehler: 1
Testbild Nr. 60: JA, Label = 5, Vorhersage: 5, Fehler: 0.444925
Testbild Nr. 61: JA, Label = 7, Vorhersage: 7, Fehler: 5.57721e-16
Testbild Nr. 62: NEIN, Label = 8, Vorhersage: 2, Fehler: 0.50023
Testbild Nr. 63: NEIN, Label = 9, Vorhersage: 4, Fehler: 0.999946
Testbild Nr. 64: JA, Label = 3, Vorhersage: 3, Fehler: 7.88905e-07
Testbild Nr. 65: JA, Label = 7, Vorhersage: 7, Fehler: 8.11852e-10
Testbild Nr. 66: JA, Label = 4, Vorhersage: 4, Fehler: 0.00773572
Testbild Nr. 67: NEIN, Label = 6, Vorhersage: 7, Fehler: 0.5
Testbild Nr. 68: JA, Label = 4, Vorhersage: 4, Fehler: 2.88625e-12
Testbild Nr. 69: JA, Label = 3, Vorhersage: 3, Fehler: 4.07562e-19
Testbild Nr. 70: JA, Label = 0, Vorhersage: 0, Fehler: 0.499997
Testbild Nr. 71: JA, Label = 7, Vorhersage: 7, Fehler: 1.45011e-48
Testbild Nr. 72: JA, Label = 0, Vorhersage: 0, Fehler: 1.63396e-05
Testbild Nr. 73: JA, Label = 2, Vorhersage: 2, Fehler: 0.255694
Testbild Nr. 74: NEIN, Label = 9, Vorhersage: 7, Fehler: 0.5
Testbild Nr. 75: JA, Label = 1, Vorhersage: 1, Fehler: 8.28357e-21
Testbild Nr. 76: JA, Label = 7, Vorhersage: 7, Fehler: 8.23854e-09
Testbild Nr. 77: JA, Label = 3, Vorhersage: 3, Fehler: 0.499994
Testbild Nr. 78: JA, Label = 2, Vorhersage: 2, Fehler: 0.194618
Testbild Nr. 79: JA, Label = 9, Vorhersage: 9, Fehler: 1.36211e-09
Testbild Nr. 80: JA, Label = 7, Vorhersage: 7, Fehler: 9.20779e-39
Testbild Nr. 81: JA, Label = 7, Vorhersage: 7, Fehler: 2.38194e-05
Testbild Nr. 82: JA, Label = 6, Vorhersage: 6, Fehler: 0.0343579
Testbild Nr. 83: JA, Label = 2, Vorhersage: 2, Fehler: 2.20551e-44
Testbild Nr. 84: JA, Label = 7, Vorhersage: 7, Fehler: 0.000349906
Testbild Nr. 85: NEIN, Label = 8, Vorhersage: 5, Fehler: 0.996732
Testbild Nr. 86: JA, Label = 4, Vorhersage: 4, Fehler: 3.89152e-15
Testbild Nr. 87: JA, Label = 7, Vorhersage: 7, Fehler: 5.57343e-24
Testbild Nr. 88: NEIN, Label = 3, Vorhersage: 5, Fehler: 0.920976
Testbild Nr. 89: JA, Label = 6, Vorhersage: 6, Fehler: 1.3267e-11
